"country_name","country_code","anio","tasa_de_cambio_oficial"
"Islas Caimán","CYM",2010,0.83333
"Islas Caimán","CYM",2023,0.83333
"Chipre","CYP",2000,0.622409116666667
"Chipre","CYP",2010,0.754308990105961
"Chipre","CYP",2023,0.924839558470698
"República Checa","CZE",2000,38.5984166666667
"República Checa","CZE",2010,19.09825
"República Checa","CZE",2023,22.1980833333333
"Alemania","DEU",2000,1.08270508132602
"Alemania","DEU",2010,0.754308990105961
"Alemania","DEU",2023,0.924839558470698
"Djibouti","DJI",2000,177.721
"Djibouti","DJI",2010,177.721
"Djibouti","DJI",2023,177.721
"Dominica","DMA",2000,2.7
"Dominica","DMA",2010,2.7
"Dominica","DMA",2023,2.7
"Dinamarca","DNK",2000,8.08314416666667
"Dinamarca","DNK",2010,5.624075
"Dinamarca","DNK",2023,6.88970258583334
"República Dominicana","DOM",2000,16.1814576782866
"República Dominicana","DOM",2010,36.8212918670815
"República Dominicana","DOM",2023,56.1576
"Argelia","DZA",2000,75.2597916666666
"Argelia","DZA",2010,74.3859833333333
"Argelia","DZA",2023,135.842933333333
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP",2000,NA
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP",2010,NA
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP",2023,NA
"inicial del dividendo demográfico","EAR",2000,NA
"inicial del dividendo demográfico","EAR",2010,NA
"inicial del dividendo demográfico","EAR",2023,NA
"Asia oriental y el Pacífico","EAS",2000,NA
"Asia oriental y el Pacífico","EAS",2010,NA
"Asia oriental y el Pacífico","EAS",2023,NA
"Europa y Asia central (excluido altos ingresos)","ECA",2000,NA
"Europa y Asia central (excluido altos ingresos)","ECA",2010,NA
"Europa y Asia central (excluido altos ingresos)","ECA",2023,NA
"Europa y Asia central","ECS",2000,NA
"Europa y Asia central","ECS",2010,NA
"Europa y Asia central","ECS",2023,NA
"Ecuador","ECU",2000,1
"Ecuador","ECU",2010,1
"Ecuador","ECU",2023,1
"Egipto, República Árabe de","EGY",2000,3.47205
"Egipto, República Árabe de","EGY",2010,5.6219429176105
"Egipto, República Árabe de","EGY",2023,30.6264136980311
"Zona del Euro","EMU",2000,1.08270508132602
"Zona del Euro","EMU",2010,0.754308990105961
"Zona del Euro","EMU",2023,0.924839558470698
"Eritrea","ERI",2000,9.625
"Eritrea","ERI",2010,15.375
"Eritrea","ERI",2023,15.075
"España","ESP",2000,1.08270508132602
"España","ESP",2010,0.754308990105961
"España","ESP",2023,0.924839558470698
"Estonia","EST",2000,16.9686366666667
"Estonia","EST",2010,11.8068482348947
"Estonia","EST",2023,0.924839558470698
"Etiopía","ETH",2000,8.21725833333333
"Etiopía","ETH",2010,14.4095898080066
"Etiopía","ETH",2023,54.6009480676569
"Unión Europea","EUU",2000,NA
"Unión Europea","EUU",2010,NA
"Unión Europea","EUU",2023,NA
"Frágiles y situaciones de conflicto afectados","FCS",2000,NA
